#a_0,e_0,emax,emin,tcol
1.035,0.440,0.93487,0.40991,-571.55485
1.087,0.380,0.39841,0.36526,100000.00000
1.137,0.360,0.37117,0.34640,100000.00000
1.467,0.360,0.36474,0.35114,100000.00000
0.749,0.440,1.02973,0.38098,-26.22312
1.383,0.290,0.29424,0.28090,100000.00000
1.014,0.280,0.28988,0.26431,100000.00000
0.334,0.190,1.33761,0.08535,0.04407
0.696,0.500,1.26366,0.34761,-15.21861
0.318,0.130,1.16005,0.06314,0.04021
1.348,0.010,0.01261,0.00133,100000.00000
1.121,0.360,0.37049,0.34550,100000.00000
0.292,0.090,1.04227,0.05725,0.03533
1.043,0.310,0.32107,0.29491,100000.00000
0.389,0.270,1.18481,0.06106,-1.44406
0.436,0.080,0.97236,0.03323,-5.15752
0.287,0.420,1.08128,0.41605,0.07507
0.734,0.290,0.95713,0.26540,-131.44156
0.233,0.030,0.85214,0.03058,0.02811
0.285,0.480,-1.00000,-1.00000,0.00000
1.037,0.250,0.25798,0.23524,100000.00000
0.213,0.000,0.80198,0.00056,0.02620
1.094,0.090,0.09412,0.07728,100000.00000
0.893,0.110,0.11708,0.09110,100000.00000
0.436,0.100,1.03295,0.04154,-5.61518
1.024,0.460,0.96615,0.42721,-552.65715
0.657,0.140,0.18139,0.10668,100000.00000
0.605,0.280,1.01616,0.16915,-13.21979
1.267,0.020,0.02284,0.01028,100000.00000
1.044,0.270,0.27857,0.25527,100000.00000
0.192,0.090,0.88017,0.08979,0.03060
0.306,0.340,1.21385,0.31413,0.04682
0.341,0.190,1.43896,0.07517,0.04814
1.182,0.410,0.42526,0.39667,100000.00000
1.102,0.140,0.14456,0.12736,100000.00000
0.434,0.010,1.13874,0.00513,-6.11715
0.374,0.260,1.04747,0.08445,-1.90710
0.822,0.000,0.02364,0.00001,100000.00000
0.684,0.320,1.03424,0.19570,-84.82869
0.248,0.450,0.45082,0.45082,-0.00354
0.871,0.110,0.11760,0.09015,100000.00000
1.137,0.450,0.47922,0.42314,100000.00000
0.513,0.040,0.08830,0.00001,100000.00000
1.493,0.060,0.06236,0.05259,100000.00000
0.658,0.240,1.03562,0.16148,-662.02417
1.003,0.460,0.93606,0.44253,-69.18842
1.415,0.240,0.24354,0.23167,100000.00000
0.871,0.470,0.97775,0.32859,-45.79189
0.700,0.350,1.00410,0.20119,-15.64496
0.931,0.400,0.95873,0.36761,-776.45194
0.744,0.250,0.28154,0.22271,100000.00000
1.288,0.300,0.30520,0.28955,100000.00000
1.131,0.000,0.01237,0.00000,100000.00000
1.018,0.240,0.24796,0.22478,100000.00000
0.318,0.110,1.31757,0.04988,0.04161
0.737,0.410,1.02948,0.23745,-30.89121
1.206,0.070,0.07331,0.05942,100000.00000
1.157,0.080,0.08361,0.06854,100000.00000
0.568,0.020,0.04521,0.00001,100000.00000
0.524,0.370,0.96848,0.17921,-3.93804
1.420,0.060,0.06252,0.05212,100000.00000
0.346,0.490,1.38519,0.48515,-0.88626
1.301,0.080,0.08296,0.07081,100000.00000
1.224,0.410,0.42416,0.39348,100000.00000
1.240,0.390,0.39926,0.37776,100000.00000
0.777,0.120,0.13156,0.09520,100000.00000
0.740,0.020,0.02915,0.00001,100000.00000
1.245,0.420,0.43116,0.40738,100000.00000
1.018,0.020,0.02416,0.00520,100000.00000
0.195,0.490,-1.00000,-1.00000,0.00000
0.432,0.350,1.09804,0.04427,-3.94187
1.132,0.170,0.17467,0.15789,100000.00000
0.241,0.440,-1.00000,-1.00000,0.00000
0.738,0.140,0.15592,0.11333,100000.00000
1.277,0.460,0.47572,0.44745,100000.00000
0.330,0.400,2.27407,0.37779,1.91364
0.647,0.170,0.19062,0.12473,100000.00000
0.585,0.440,1.19275,0.02895,-5.85164
0.686,0.360,0.98658,0.21826,-54.30533
0.199,0.410,0.41079,0.41079,-0.00589
0.710,0.400,1.01785,0.20524,-76.76237
0.824,0.060,0.06753,0.03752,100000.00000
0.636,0.320,1.02847,0.11903,-86.28557
0.207,0.320,0.32074,0.32074,-0.00357
0.206,0.250,0.86031,0.24816,0.04873
0.311,0.180,1.01523,0.10433,0.03796
1.224,0.360,0.36846,0.34773,100000.00000
0.496,0.270,1.46828,0.05977,-7.02013
0.626,0.150,0.18688,0.11376,100000.00000
0.877,0.180,0.18960,0.16026,100000.00000
0.608,0.320,1.15351,0.18458,-21.47027
0.633,0.390,1.09496,0.13505,-21.79192
0.601,0.330,1.04419,0.26181,-7.23513
0.740,0.140,0.15569,0.11343,100000.00000
1.406,0.030,0.03266,0.02162,100000.00000
0.231,0.120,0.89929,0.11376,0.03074
0.345,0.410,2.08249,0.37139,-0.69365
1.244,0.150,0.15364,0.13990,100000.00000
0.283,0.170,0.79995,0.12689,0.03513
0.591,0.070,0.13292,0.00556,100000.00000
1.148,0.280,0.28660,0.26742,100000.00000
0.940,0.370,0.40549,0.33225,100000.00000
1.005,0.210,0.21729,0.19464,100000.00000
0.431,0.010,1.14516,0.00202,-5.94087
0.452,0.270,1.17165,0.09384,-2.36739
1.171,0.350,0.35842,0.33674,100000.00000
1.445,0.030,0.03294,0.02254,100000.00000
0.188,0.190,0.92004,0.18938,0.04235
0.638,0.220,0.94091,0.16821,-2031.77128
0.603,0.410,1.19852,0.27610,-8.44806
0.870,0.240,0.25357,0.21952,100000.00000
0.933,0.250,0.26514,0.22800,100000.00000
1.045,0.310,0.32089,0.29495,100000.00000
0.294,0.440,2.97059,0.43623,0.24860
0.466,0.200,1.14396,0.00540,5.43702
0.201,0.450,0.45082,0.45082,-0.00605
0.328,0.360,1.13514,0.31139,0.04961
0.675,0.040,0.05333,0.00509,100000.00000
0.986,0.120,0.12564,0.10443,100000.00000
1.295,0.330,0.33578,0.31934,100000.00000
1.249,0.130,0.13350,0.12012,100000.00000
0.561,0.200,0.99643,0.11239,-47.04231
0.894,0.240,0.25323,0.22099,100000.00000
1.024,0.200,0.20663,0.18521,100000.00000
0.278,0.420,1.64749,0.41659,0.08230
1.046,0.000,0.01442,0.00000,100000.00000
