#a_0,e_0,emax,emin,tcol
0.366,0.330,1.79673,0.19576,-12.52543
0.213,0.180,0.91877,0.17606,0.03568
0.196,0.220,0.96870,0.21819,0.04541
0.197,0.050,0.83765,0.05008,0.02776
0.341,0.160,1.43443,0.05580,-55.82356
0.448,0.120,0.47814,0.05898,0.35600
0.482,0.090,0.21224,0.03364,11.22800
0.286,0.030,1.10460,0.02543,0.03499
0.362,0.180,1.40155,0.03746,-22.37545
0.502,0.300,0.98624,0.05604,5.74408
0.561,0.230,1.03961,0.09934,-103.79056
0.209,0.340,-1.00000,-1.00000,0.00000
0.247,0.110,0.87373,0.09796,0.03084
0.267,0.000,0.78737,0.00007,0.03240
0.276,0.370,0.57109,0.24873,0.06491
0.214,0.290,0.65388,0.28757,0.06002
0.542,0.230,1.47057,0.17618,30.48520
0.481,0.310,1.14847,0.12986,-39.98988
0.543,0.170,1.10200,0.13485,-93.32509
0.354,0.090,1.80248,0.01887,-15.99959
0.512,0.260,1.10417,0.00717,-57.74739
0.308,0.180,0.97972,0.10769,0.03841
0.394,0.440,0.64257,0.16275,0.07949
0.215,0.430,0.43010,0.43010,-0.00527
0.535,0.500,2.04426,0.05843,-20.95615
0.394,0.010,1.07435,0.00657,-58.20387
0.557,0.500,1.13217,0.08820,-37.54101
0.569,0.150,0.28636,0.06851,-168.22203
0.445,0.160,1.05426,0.07689,-152.75184
0.496,0.160,1.20084,0.06868,-69.55460
0.573,0.450,2.07277,0.20525,-10.88280
0.415,0.110,1.41535,0.03321,-21.43318
0.381,0.400,0.65742,0.28566,0.19826
0.382,0.100,1.16614,0.00994,29.07585
0.395,0.200,1.18165,0.01995,-39.31575
0.282,0.280,0.82899,0.25769,0.04046
0.184,0.430,-1.00000,-1.00000,0.00000
0.406,0.500,1.75339,0.36660,0.08256
0.588,0.390,1.09564,0.26230,-41.28351
0.233,0.240,0.89030,0.23504,0.03949
0.426,0.040,1.14761,0.00977,-41.56515
0.242,0.150,0.83282,0.13943,0.03221
0.577,0.250,0.27451,0.11675,7.89800
0.357,0.240,1.62586,0.09536,-14.28845
0.579,0.340,1.10254,0.12567,-58.43773
0.242,0.100,0.88341,0.09028,0.03028
0.510,0.470,0.92242,0.01294,0.21483
0.297,0.370,0.93227,0.36148,0.05672
0.574,0.380,1.03888,0.18201,-84.88743
0.524,0.500,0.67465,0.03832,0.21500
0.552,0.290,1.10123,0.06371,-76.07716
0.555,0.260,1.21850,0.13094,-65.26985
0.275,0.500,0.50011,0.50011,-0.00315
0.511,0.320,1.06994,0.06933,-78.86213
0.550,0.280,1.10460,0.20783,-54.11668
0.583,0.050,0.11627,0.00594,12.32600
0.509,0.370,1.13042,0.14958,-40.50161
0.516,0.060,0.10383,0.00016,16.19600
0.497,0.100,0.24507,0.00042,49.10400
0.236,0.160,0.93367,0.15171,0.03263
0.483,0.060,1.28174,0.01781,-66.85829
0.556,0.450,0.85905,0.03048,1.59982
0.485,0.270,1.17249,0.14494,-55.36654
0.272,0.350,0.74756,0.34455,0.05521
