#mu,eb,a_crit
0.050,0.03,2.15
0.010,0.15,2.09
0.030,0.58,3.51
0.060,0.25,2.74
0.080,0.70,4.14
0.020,0.39,2.65
0.110,0.34,3.41
0.070,0.51,3.58
0.100,0.14,2.61
0.010,0.16,2.09
0.120,0.60,3.89
0.060,0.26,2.75
0.020,0.40,2.75
0.080,0.71,4.14
0.050,0.04,2.15
0.030,0.59,3.51
0.110,0.35,3.41
0.070,0.52,3.77
0.080,0.72,4.15
0.060,0.27,2.76
0.010,0.17,2.09
0.100,0.15,2.62
0.120,0.61,3.91
0.020,0.41,2.77
0.050,0.05,2.14
0.030,0.60,3.51
0.110,0.36,3.42
0.070,0.53,3.77
0.060,0.28,2.77
0.080,0.73,4.15
0.010,0.18,2.10
0.020,0.42,2.78
0.120,0.62,4.14
0.030,0.61,3.52
0.100,0.16,2.64
0.110,0.37,3.42
0.050,0.06,2.14
0.070,0.54,3.78
0.030,0.62,3.53
0.060,0.29,2.78
0.080,0.74,4.15
0.020,0.43,2.80
0.010,0.19,2.10
0.120,0.63,4.15
0.070,0.55,3.78
0.100,0.17,2.67
0.050,0.07,2.14
0.030,0.63,3.53
0.110,0.38,3.43
0.080,0.75,4.15
0.060,0.30,3.03
0.020,0.44,2.80
0.010,0.20,2.10
0.070,0.56,3.78
0.120,0.64,4.15
0.100,0.18,2.68
0.050,0.08,2.14
0.060,0.31,3.03
0.030,0.64,3.56
0.110,0.39,3.45
0.080,0.76,4.16
0.020,0.45,3.02
0.010,0.21,2.11
0.120,0.65,4.15
0.120,0.68,4.16
0.050,0.09,2.14
0.060,0.32,3.05
0.030,0.65,3.76
0.100,0.19,2.70
0.110,0.40,3.47
0.120,0.66,4.16
0.080,0.77,4.16
0.010,0.22,2.11
0.140,0.10,2.31
0.050,0.10,2.15
0.100,0.20,2.71
0.120,0.67,4.16
0.030,0.66,3.77
0.120,0.69,4.17
0.060,0.33,3.07
0.080,0.78,4.16
0.110,0.41,3.51
0.160,0.56,3.87
0.170,0.79,4.49
0.150,0.33,3.42
0.140,0.11,2.61
0.190,0.21,3.05
0.100,0.21,2.77
0.080,0.79,4.17
0.030,0.67,3.77
0.120,0.70,4.17
0.110,0.42,3.53
0.160,0.57,3.89
0.200,0.44,3.59
0.120,0.71,4.19
0.170,0.80,4.49
0.150,0.34,3.43
0.140,0.12,2.62
0.030,0.68,3.77
0.190,0.22,3.07
0.210,0.67,4.19
0.110,0.43,3.53
0.160,0.58,3.92
0.120,0.72,4.19
0.180,0.00,2.19
0.140,0.13,2.64
0.150,0.35,3.43
0.230,0.09,2.63
0.200,0.45,3.80
0.160,0.59,3.92
0.190,0.23,3.10
0.210,0.68,4.19
0.110,0.44,3.54
0.120,0.73,4.19
0.230,0.10,2.64
0.150,0.36,3.45
0.180,0.01,2.22
0.140,0.14,2.64
0.200,0.46,3.81
0.160,0.60,3.92
0.190,0.24,3.11
0.120,0.74,4.19
0.210,0.69,4.19
0.240,0.32,3.44
0.230,0.11,2.65
0.180,0.02,2.24
0.150,0.37,3.47
0.140,0.15,2.65
0.210,0.70,4.19
0.190,0.25,3.13
0.200,0.47,3.83
0.120,0.75,4.19
0.160,0.61,4.16
0.240,0.33,3.46
0.230,0.12,2.66
0.150,0.38,3.48
0.180,0.03,2.24
0.210,0.71,4.20
0.140,0.16,2.71
0.190,0.26,3.17
0.120,0.76,4.19
0.200,0.48,3.83
0.230,0.13,2.67
0.160,0.62,4.16
0.210,0.72,4.21
0.240,0.34,3.46
